pk_teuna_fikt,mispar_rehev_fikt,SHNAT_TEUNA,HODESH_TEUNA,NEFAH,SHNAT_YITZUR,KIVUNE_NESIA,MATZAV_REHEV,SHIYUH_REHEV_LMS,SUG_REHEV_LMS,MEKOMOT_YESHIVA_LMS,MISHKAL_KOLEL_LMS,SUG_TIK
2013027475,1,2013,10,8,2013,0,0,1,12,3,2,3
2013027475,2,2013,10,9,2008,0,0,1,2,5,2,3
2013024618,1,2013,7,6,2010,0,0,1,1,3,1,3
2013024618,2,2013,7,0,0,0,0,1,17,99,0,3
2013012856,1,2013,10,2,2011,0,0,1,9,1,1,3
2013012856,2,2013,10,0,0,0,0,1,17,99,0,3
2013029760,1,2013,10,6,2006,0,0,1,1,99,,3
2013008262,1,2013,9,8,2004,0,0,1,12,3,,3
2013008262,2,2013,9,6,1995,0,0,1,1,99,,3
2013034494,1,2013,10,6,2009,0,0,1,1,99,1,3
2013034494,2,2013,10,6,2012,0,0,1,1,3,1,3
2013035822,1,2013,10,6,2002,0,0,1,1,4,,3
2013035822,2,2013,10,8,2008,0,0,1,1,99,2,3
2013057930,1,2013,10,6,2008,0,0,1,1,3,,3
2013057930,2,2013,10,6,1999,0,0,1,1,99,1,3
2013057930,3,2013,10,6,2008,0,0,1,1,5,1,3
2013010341,1,2013,10,5,2010,0,0,1,1,3,1,3
2013010341,2,2013,10,6,2009,0,0,1,1,3,1,3
2013043983,1,2013,10,6,2010,4433,0,1,1,3,1,3
2013043983,2,2013,10,6,2008,0,0,1,1,99,,3
2013028711,1,2013,10,13,2005,0,0,1,11,53,11,3
2013000441,1,2013,10,6,2012,0,0,1,1,3,1,3
2013000441,2,2013,10,0,0,0,0,1,17,99,0,3
2013052447,1,2013,9,9,2004,0,0,1,3,3,2,3
2013024522,1,2013,10,9,2011,0,0,1,11,19,5,3
2013024522,2,2013,10,6,2012,2211,0,1,1,3,1,3
2013010342,1,2013,10,6,2011,0,0,1,1,3,1,3
2013010342,2,2013,10,6,2004,0,0,1,1,99,1,3
2013027838,1,2013,10,6,2008,0,0,1,1,99,,3
2013027838,2,2013,10,3,1994,0,0,1,19,1,,3
2013009499,1,2013,10,6,2011,1122,0,1,1,99,1,3
2013055730,2,2013,8,0,0,0,0,1,17,99,0,3
2013042711,1,2013,8,6,2011,0,0,1,1,3,1,3
