pk_teuna_fikt,sug_tik,THUM_GEOGRAFI,SUG_DEREH,SEMEL_YISHUV,REHOV1,REHOV2,BAYIT,ZOMET_IRONI,KVISH1,KVISH2,KM,ZOMET_LO_IRONI,YEHIDA,SHNAT_TEUNA,HODESH_TEUNA,YOM_BE_HODESH,SHAA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,RAMZOR,HUMRAT_TEUNA,SUG_TEUNA,ZURAT_DEREH,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,BAKARA,MEZEG_AVIR,PNE_KVISH,SUG_EZEM,MERHAK_EZEM,LO_HAZA,OFEN_HAZIYA,MEKOM_HAZIYA,KIVUN_HAZIYA,MAHOZ,NAFA,EZOR_TIVI,MAAMAD_MINIZIPALI,ZURAT_ISHUV,STATUS_IGUN,X,Y
2010000054,1,1,2,1286,0,,9999,,,,,,34,2010,11,11,1,4,5,5,9,2,1,9,9,0,0,0,0,5,6,,1,6,9,9,9,0,0,9,6,62,623,99,28,2,184500,567000
2010000057,1,1,1,1200,100,124,,130001,,,,,52,2010,12,2,1,4,5,5,9,3,1,9,3,0,1,0,3,3,6,,9,9,9,9,9,0,0,9,4,43,431,0,15,1,202138,645192
2010000061,1,1,2,8500,417,,12,,,,,,52,2010,12,10,1,4,5,6,9,3,1,9,9,0,0,0,0,5,6,,9,9,9,9,9,3,9,9,4,43,431,0,15,1,186879,648651
2010000063,1,1,1,6900,523,529,,7920006,,,,,51,2010,12,15,1,4,5,4,9,2,1,8,0,3,1,0,2,3,6,7,1,1,9,9,9,3,3,1,4,42,421,0,15,1,190523,676074
2010000064,1,1,2,637,0,,9999,,,,,,14,2010,12,15,1,4,5,4,9,3,1,8,3,0,1,0,3,3,6,,1,1,9,9,9,3,3,1,3,32,323,99,27,2,209386,710998
2010000065,1,1,1,2630,112,102,,7600002,,,,,38,2010,12,20,1,4,5,2,9,3,1,9,9,0,0,0,0,5,6,7,9,9,9,9,9,0,0,9,6,61,612,0,16,1,178377,613288
2010000070,1,1,4,0,,,,,444,0,420,,51,2010,12,29,1,4,5,4,9,3,1,8,9,0,3,0,3,5,6,,1,1,9,9,9,0,0,9,9,99,999,99,99,1,200548,686685
2010000092,1,1,2,1200,442,,9999,,,,,,52,2010,4,9,1,4,5,6,9,3,2,8,9,0,0,0,0,5,6,,9,9,9,9,9,0,0,9,4,43,431,0,15,3,201268,646607
2010000093,1,1,2,1200,305,,1,,,,,,52,2010,5,19,1,1,5,4,9,3,2,8,0,3,3,0,4,5,3,,1,1,9,9,9,0,0,9,4,43,431,0,15,1,200895,644106
2010000103,1,1,3,0,,,,,444,5,231,2043,51,2010,8,29,1,4,5,1,1,3,2,8,0,3,1,0,0,3,6,2,9,9,9,9,9,0,0,9,9,99,999,99,99,1,194591,669190
2010000104,1,1,1,7900,555,504,,99970231,,,,,51,2010,10,3,1,4,5,1,0,3,2,8,0,3,1,0,2,2,6,1,9,9,9,9,9,0,0,9,4,42,422,0,14,1,191833,664187
2010000105,1,1,2,7900,1107,,9999,,,,,,51,2010,2,3,1,4,5,4,9,3,2,8,3,0,1,0,0,3,6,,9,9,9,9,9,0,0,9,4,42,422,0,14,3,186440,666735
2010000106,1,1,2,2640,111,,12,,,,,,51,2010,2,10,1,4,5,4,9,3,2,8,0,2,1,0,0,3,6,,1,1,9,9,9,0,0,9,4,42,422,0,16,1,195789,667740
2010000107,1,1,1,2640,125,119,,7500002,,,,,51,2010,7,22,1,4,5,5,0,3,2,8,0,2,1,0,2,3,6,6,1,1,9,9,9,0,0,9,4,42,422,0,16,1,195898,667384
2010000110,1,1,2,70,0,,9999,,,,,,38,2010,12,28,1,4,5,3,9,3,2,9,9,0,0,0,0,5,6,,9,9,9,9,9,0,0,9,6,61,613,0,9,2,166107,634411
2010000111,1,1,2,530,0,,9999,,,,,,14,2010,12,23,1,4,5,5,9,3,2,8,3,0,2,0,5,3,3,6,1,1,9,9,9,0,0,9,2,22,222,99,28,2,237698,749291
2010000114,1,1,2,8400,255,,9999,,,,,,52,2010,12,19,1,4,5,1,9,3,2,8,0,3,1,0,4,3,6,5,9,9,9,9,9,0,0,9,4,44,441,0,14,2,181985,645084
2010000117,1,1,3,0,,,,,40,1,2779,13,52,2010,12,13,1,4,5,2,9,3,2,9,9,0,0,0,0,5,6,7,9,9,9,9,9,0,0,9,9,99,999,99,99,1,191146,653847
2010000118,1,1,3,0,,,,,40,531,3001,4198,51,2010,11,9,1,4,5,3,1,3,2,8,0,3,4,0,4,5,3,2,1,1,9,9,9,0,0,9,9,99,999,99,99,1,193238,674611
2010000121,1,1,2,9000,810,,9999,,,,,,34,2010,11,25,1,4,5,5,9,3,2,9,9,0,0,0,0,5,6,,9,9,9,9,9,0,0,9,6,62,623,0,14,3,180417,573409
2010000122,1,1,1,9000,811,838,,8380023,,,,,34,2010,11,22,1,4,5,2,9,3,2,9,9,0,0,0,0,5,6,,9,9,9,9,9,0,0,9,6,62,623,0,14,1,180632,572821
2010000123,1,1,3,0,,,,,70,722,331,1199,14,2010,11,22,1,4,5,2,1,3,2,8,3,0,4,0,5,3,3,2,1,1,9,9,9,0,0,9,9,99,999,99,99,1,210402,730891
2010000126,1,1,4,0,,,,,40,,-181,,34,2010,11,14,1,4,5,1,9,3,2,9,9,0,0,0,0,5,6,,9,9,9,9,9,0,0,9,9,99,999,99,99,1,183679,573264
2010000127,1,1,2,31,211,,9999,,,,,,34,2010,11,18,1,4,5,5,9,3,2,9,9,0,0,0,0,5,6,,9,9,9,9,9,0,0,9,6,62,622,0,16,3,164118,579453
2010000128,1,1,1,9000,572,565,,15470012,,,,,34,2010,11,12,1,4,5,6,9,3,2,8,3,0,1,0,3,3,6,,1,1,9,9,9,0,0,9,6,62,623,0,14,1,178340,575140
2010000129,1,1,2,1200,442,,9999,,,,,,52,2010,11,10,1,4,5,4,9,3,2,9,0,3,1,0,3,3,6,2,1,1,9,9,9,0,0,9,4,43,431,0,15,3,201268,646607
2010000134,1,1,1,7100,812,810,,400005,,,,,38,2010,10,26,1,4,5,3,9,3,2,9,9,0,0,0,0,5,6,,9,9,9,9,9,0,0,9,6,61,614,0,14,1,161932,619132
2010000135,1,1,1,9000,102,701,,8450021,,,,,34,2010,10,29,1,4,5,6,9,3,2,9,9,0,0,0,0,5,6,7,9,9,9,9,9,0,0,9,6,62,623,0,14,1,181511,572599
2010000136,1,1,1,9000,921,923,,180022,,,,,34,2010,10,19,1,4,5,3,9,3,2,9,9,0,0,0,0,5,6,,9,9,9,9,9,0,0,9,6,62,623,0,14,1,179894,571994
2010000137,1,1,2,31,121,,9999,,,,,,34,2010,10,26,1,4,5,3,9,3,2,9,9,0,0,0,0,5,6,,9,9,9,9,9,0,0,9,6,62,622,0,16,3,163531,580210
2010000139,1,1,1,7900,504,555,,99970231,,,,,51,2010,10,3,1,4,5,1,0,3,2,8,0,3,1,0,2,2,6,1,9,9,9,9,9,0,0,9,4,42,422,0,14,1,191833,664187
2010000140,1,1,2,9000,1276,,9999,,,,,,34,2010,10,5,1,4,5,3,9,3,2,9,9,0,0,0,0,5,6,,9,9,9,9,9,0,0,9,6,62,623,0,14,3,181717,576154
2010000143,1,1,1,70,302,206,,8060011,,,,,38,2010,9,26,1,3,5,1,9,3,2,9,9,0,0,0,0,5,6,7,9,9,9,9,9,0,0,9,6,61,613,0,9,1,168598,632683
2010000144,1,1,4,0,,,,,443,0,120,,52,2010,9,21,1,4,5,3,9,3,2,8,9,0,4,0,0,3,3,,1,1,9,9,9,0,0,9,9,99,999,99,99,1,200296,648042
2010000146,1,1,1,9000,811,834,,8370023,,,,,34,2010,9,19,1,4,5,1,1,3,2,8,0,2,2,0,4,3,6,2,1,1,9,9,9,0,0,9,6,62,623,0,14,1,180487,572654
2010000147,1,1,1,9000,811,101,,7870034,,,,,34,2010,9,19,1,4,5,1,1,3,2,8,0,3,2,0,4,3,3,2,1,1,9,9,9,0,0,9,6,62,623,0,14,1,180766,574452
2010000149,1,1,4,0,,,,,334,0,270,,34,2010,9,13,1,4,5,2,9,3,2,8,3,0,4,0,3,3,6,,1,1,9,9,9,0,0,9,9,99,999,99,99,1,173214,597910
2010000150,1,1,2,9000,102,,9999,,,,,,34,2010,8,20,1,4,5,6,9,3,2,9,9,0,0,0,0,5,6,,9,9,9,9,9,0,0,9,6,62,623,0,14,3,180439,571930
2010000151,1,1,3,0,,,,,444,5,231,2043,51,2010,8,29,1,4,5,1,1,3,2,1,0,3,1,0,0,3,6,2,9,9,9,9,9,0,0,9,9,99,999,99,99,1,194591,669190
2010000152,1,1,1,9000,101,841,,9400021,,,,,34,2010,9,3,1,4,5,6,9,3,2,9,9,0,0,0,0,5,6,,9,9,9,9,9,0,0,9,6,62,623,0,14,1,182311,573605
2010000153,1,1,2,7900,148,,21,,,,,,51,2010,9,1,1,4,5,4,9,3,2,8,0,3,1,0,3,3,6,,1,1,9,9,9,0,0,9,4,42,422,0,14,3,190336,668257
2010000154,1,1,4,0,,,,,4,0,770,,38,2010,8,28,1,4,5,7,9,3,2,9,9,0,0,0,0,5,6,,9,9,9,9,9,0,0,9,9,99,999,99,99,1,168498,629730
