pk_teuna_fikt,mispar_rehev_fikt,SHNAT_TEUNA,HODESH_TEUNA,NEFAH,SHNAT_YITZUR,KIVUNE_NESIA,MATZAV_REHEV,SHIYUH_REHEV_LMS,SUG_REHEV_LMS,MEKOMOT_YESHIVA_LMS,MISHKAL_KOLEL_LMS,SUG_TIK
2014004932,4,2014,3,9,2009,2211,0,1,1,3,2,1
2014004932,5,2014,3,8,2011,1122,0,1,1,99,1,1
2014004932,6,2014,3,7,2007,2211,0,1,1,99,1,1
2014004932,7,2014,3,6,2011,2211,0,1,1,3,1,1
2014004932,8,2014,3,6,2011,2211,0,1,1,3,1,1
2014006876,1,2014,3,6,2011,6644,0,1,1,3,1,1
2014000409,1,2014,3,9,1997,4433,0,1,1,99,,1
2014011374,1,2014,4,2,2013,1122,0,1,10,1,1,1
2014011374,2,2014,4,10,2008,2211,0,1,1,3,2,1
2014005865,1,2014,4,8,1996,2211,0,1,1,99,1,1
2014000383,1,2014,3,7,2001,2211,0,1,1,99,,1
2014000383,2,2014,3,0,0,0,0,1,17,99,0,1
2014000133,1,2014,4,6,2005,2255,0,1,1,99,1,1
2014000133,2,2014,4,0,0,2211,0,1,17,99,0,1
2014013343,1,2014,4,8,2002,1122,0,1,1,99,1,1
2014013343,2,2014,4,6,2013,3344,0,1,1,99,1,1
2014014070,1,2014,4,0,0,4433,0,1,17,99,0,1
2014014070,2,2014,4,5,2012,2211,0,1,1,3,1,1
2014002781,1,2014,4,6,1997,2211,0,1,1,99,,1
2014002781,2,2014,4,13,2001,3344,0,1,11,35,11,1
2014014461,1,2014,4,9,2013,2222,0,1,3,3,2,1
2014014461,2,2014,4,6,1997,6644,0,1,1,99,1,1
2014006143,1,2014,4,2,2008,2211,0,1,9,99,1,1
2014006143,2,2014,4,6,2005,4433,0,1,1,3,,1
2014004781,1,2014,4,8,2011,2211,0,1,1,3,1,1
2014014204,1,2014,4,6,2009,2211,0,1,1,99,1,1
2014014204,2,2014,4,0,0,3344,0,1,15,99,0,1
2014007758,1,2014,4,6,2011,3344,0,1,1,3,1,1
2014007758,2,2014,4,6,2009,1122,0,1,1,99,,1
2014015596,1,2014,4,7,1999,4433,0,1,1,99,,1
2014002719,1,2014,4,6,2009,3355,0,1,2,3,1,1
2014000384,1,2014,4,5,1997,4433,0,1,1,5,1,1
2014000384,2,2014,4,4,2013,2211,0,1,1,2,1,1
2014009361,1,2014,4,8,2013,3344,0,1,1,99,2,1
2014009361,2,2014,4,6,2011,1122,0,1,1,99,1,1
2014058200,1,2014,5,9,1997,3344,0,1,1,99,,1
2014058200,2,2014,5,6,2000,4433,0,1,1,99,,1
2014069340,1,2014,5,3,2012,2211,0,1,10,99,1,1
2014069340,2,2014,5,5,2011,2211,0,1,1,3,1,1
2014061153,1,2014,5,9,2010,3344,0,1,3,3,3,1
2014061153,2,2014,5,6,2008,2211,0,1,1,4,,1
2014017417,1,2014,4,6,2010,3344,0,1,1,3,1,1
2014046618,1,2014,5,8,2014,2211,0,1,2,6,3,1
2014046618,2,2014,5,5,2011,2211,0,1,1,3,1,1
2014027559,1,2014,5,6,1997,2211,0,1,1,99,,1
2014093328,1,2014,5,6,1998,4433,0,1,1,99,1,1
2014033713,1,2014,5,6,2010,1122,0,1,2,3,1,1
2014033713,2,2014,5,10,2009,4433,0,1,1,99,,1
2014069833,1,2014,5,6,2014,4433,0,1,1,3,1,1
2014069833,2,2014,5,6,2010,4433,0,1,1,3,1,1
2014014622,1,2014,4,6,2008,2244,0,1,17,99,,1
2014014622,2,2014,4,1,2004,4444,0,1,17,1,,1
2014057459,1,2014,5,6,1995,4433,0,1,1,99,,1
2014057459,2,2014,5,2,2007,3344,0,1,10,99,,1
2014047908,1,2014,5,9,2008,6611,0,1,1,3,,1
2014047908,2,2014,5,9,2006,4433,0,1,1,4,,1
2014021920,1,2014,5,5,2012,4433,0,1,1,3,1,1
2014021920,2,2014,5,8,2009,4433,0,1,1,99,,1
2014085733,1,2014,5,6,2011,4433,0,1,1,99,1,1
2014085733,2,2014,5,8,2008,1122,0,1,12,4,2,1
2014097598,1,2014,5,12,2011,1122,0,1,11,37,11,1
2014073676,1,2014,5,2,2008,4411,0,1,10,99,,1
2014073676,2,2014,5,12,2012,2211,0,1,11,35,11,1
2014068354,1,2014,5,9,2008,1122,0,1,1,3,,1
2014068354,2,2014,5,6,2011,1122,0,1,1,99,1,1
2014068354,3,2014,5,8,2008,1122,0,1,1,99,,1
2014068354,4,2014,5,10,2010,1122,0,1,1,99,,1
2014036375,1,2014,5,0,0,3344,0,1,8,99,0,1
2014075258,1,2014,5,6,2011,1122,0,1,1,3,1,1
2014075258,2,2014,5,6,2008,2233,0,1,1,99,,1
2014060552,1,2014,5,2,2009,4433,0,1,9,1,,1
2014060552,2,2014,5,6,2010,1122,0,1,1,3,1,1
2014085777,1,2014,5,8,2008,2211,0,1,1,99,2,1
2014085777,2,2014,5,0,2008,2211,0,1,12,99,0,1
2014063755,1,2014,5,8,2013,3344,0,1,1,5,2,1
2014063755,2,2014,5,6,1993,3344,0,1,1,99,,1
2014055321,1,2014,5,6,2010,4433,2,1,1,3,1,1
2014055321,2,2014,5,8,2013,3344,0,1,12,3,2,1
2014034126,1,2014,5,6,2006,3344,0,1,1,4,1,1
2014071485,1,2014,5,6,2006,1122,0,1,1,99,1,1
2014016468,1,2014,4,6,2006,3322,0,1,1,3,,1
2014016468,2,2014,4,6,2007,2233,0,1,1,3,,1
