kod,teur,X_Lamas,Y_Lamas
397,צומת עין הוד,197387.6906,734285.0614
399,צומת עתלית,197518.8379,735133.358
401,צומת אורן,197533.3796,735532.9387
403,כניסה למגדים,197128,736897.0001
405,כניסה לטירת כרמל (דרום),196968.0795,739267.3092
407,כניסה להחותרים,196790,739829
409,כניסה לכפר גלים,196733.304,741149.6191
411,כניסה לטירת כרמל (צפון),196851.4014,742017.5956
423,מחלף הקריות,202899.3816,743824.8114
431,צומת השופטים (מוצארט),207770,747716
433,צומת העשור,208204.9104,748966.1199
435,כניסה לק ביאליק רח הפקאן,208907,750261
437,כניסה לצור שלום,209128.3046,751164.0011
439,כניסה לנווה נעמן,209342.5592,753240.0004
441,כניסה לכפר מסריק,209167.9999,755079
443,כניסה לעין המפרץ,208770,756485.9999
445,צומת תל עכו,208083.9099,758799.501
446,כניסה לבוסתן הגליל,208571.2992,761352.2409
447,צומת למחנה בן עמי,208617.8593,761492.1596
449,כניסה ללוחמי הגיטאות,209122.0612,763010.7208
451,צומת רגבה,209119,764815
453,כניסה לשבי ציון,209151,765015
455,כניסה לעברון,209423.8605,766559.7497
457,כניסה לגבעת אוסישקין,209577.5909,767440.5018
459,צומת נהרייה,209645,767860
461,כניסה לגבעת כצנלסון,209669,768052.9999
463,כניסה לגבעת שרת,209923.8629,768723.5361
465,כניסה לגבעת טרומפלדור,210040.0001,769842
467,כניסה לסער,210069.0001,770201
468,כניסה למונטנה,210312.3113,771780.5613
469,כניסה לגשר הזיו,210250,772267
471,כניסה לאכזיב,210060.9999,772646
473,כניסה לכפר לימן,210616.9999,774456
475,צומת בצת,211156,775539
477,כניסה לראש הנקרה,210985.5903,776329.0614
481,מחלף הכפר הירוק,184436,671305
483,צומת הערבה,229563.243,544305.1368
485,כניסה למכתש הקטן,226074.0911,545945.619
487,צומת צפית,219067.4536,550189.4654
489,כניסה לגבעת שפיפון,212785.1547,549619.3645
491,צומת רותם,208793.8588,549518.2496
493,כניסה לממשית,206547.0001,549451.8101
495,כניסה לדימונה (דרום),202279,552027
497,צומת דימונה,200570.0494,553026.0788
499,כניסה לנבטים,187984,569589
501,כניסה לא תעשייה באר שבע,182224.7493,570836.251
503,צומת בית אשל,181180.8313,571049.0611
505,צומת חצרים,179305.4977,572830.4401
507,כניסה לאשל הנשיא,171659.2986,581703.8802
509,צומת הנשיא,171339.3001,582201.6909
511,כניסה לתחנת נסיונית,168272.2998,582326.9995
513,צומת גילת,167059.2986,582998.7513
515,צומת לתאשור,164937.909,585284.9392
519,כניסה לשרשרת (צפון),163003.9187,591021.941
