UNIQ_ID,FCODE_TYPE,SETL_CODE,SETL_NAME,NAME,LATIN_NAME,USG_GROUP,USG_CODE,E_ORD,N_ORD,LON,LAT,DATA_YEAR,PRDCT_VER,X,Y
54448042,252,31,אופקים,בית ספר - בית יעקב לבנות,,13,5312,164251.0326,579710.6192,34.62460901,31.30786086,0,,164251.0326,579710.6192
54452244,252,31,אופקים,בית ספר - נראה אור,,13,5312,164220.5321,579658.2402,34.62429153,31.30738702,0,,164220.5321,579658.2402
54452860,252,31,אופקים,בית ספר - מעיינות חיה,,13,5321,163493.2559,580544.5881,34.61660262,31.31534591,2014,7/1/2015,163493.2559,580544.5881
54448277,252,31,אופקים,ישיבת - אופקים תורת חיים,,13,5340,164375.4552,579844.6806,34.62590855,31.3090758,2014,7/1/2015,164375.4552,579844.6806
54448120,252,31,אופקים,בית ספר - דרכי חיים,,13,5312,164479.7513,579800.0087,34.62700655,31.30867786,2014,7/1/2015,164479.7513,579800.0087
54447121,252,31,אופקים,בית ספר - אשלים לתקשורת,,13,5310,163482.2598,581024.0537,34.61646024,31.31966949,2014,7/1/2015,163482.2598,581024.0537
54450997,252,31,אופקים,בית ספר - מעלות רחל בית יעקב,,13,5312,163077.4205,580712.3646,34.61222488,31.31683894,2014,7/1/2015,163077.4205,580712.3646
54447304,252,31,אופקים,בית ספר - דרכי נועם,,13,5310,163329.2014,580267.8821,34.61489481,31.31284251,2014,7/1/2015,163329.2014,580267.8821
54447136,252,31,אופקים,בית ספר - מקיף עמל,,13,5330,163871.7799,579454.0203,34.62063962,31.30552864,2014,7/1/2015,163871.7799,579454.0203
54453096,252,31,אופקים,בית ספר - נווה יוכבד בית יעקב,,13,5332,163074.9537,580774.0162,34.61219549,31.31739484,2014,7/1/2015,163074.9537,580774.0162
54448640,252,31,אופקים,בית ספר - סעדיה גאון,,13,5310,164573.7387,579882.4501,34.62798927,31.3094258,2014,7/1/2015,164573.7387,579882.4501
54450734,252,31,אופקים,"בית ספר - ש""ס מעין התורה",,13,5312,164090.3581,579743.7385,34.62291945,31.30815192,0,,164090.3581,579743.7385
