"TABLE 9.- MOTOR VEHICLES REGISTERED IN LOCAL COUNCILS, ",,,,,,,,,,,,"לוח 9.- כלי רכב מנועיים הרשומים במועצות מקומיות, "
"                   BY TYPE OF VEHICLE",,,,,,,,,,,,"               לפי סוג כלי רכב"
"Absolute numbers",,,,,,2009,,,,,,"מספרים מוחלטים"
,"Type of vehicle",,,,,,,,," סוג  כלי רכב","אוכלוסייה",
,"אופנוע","כלי","מונית","אוטובוס","אוטובוס","  Truck",," משאית","כלי","סך כולל","קבועה (1)",
,,"רכב",,,"זעיר",,,,"רכב פרטי",,"בסוף 2009",
"Local council",,"מיוחד",,,,"מעל 3.5 ","עד 3.5 ","סך הכל",,,"Permanent","מועצה מקומית"
,,,,,,"טונות","טונות",,,,"population (1)",
,"Motor-","Special","Taxi","Bus","Minibus","Over","Up  to","Total","Private","Grand","at end of ",
,"cycle","vehicle",,,,"3.5 tons","3.5 tons",,"car"," total",2009,
,,,,,,,,,,,,
" Total","7,881",467,"1,889","1,163","3,039","8,672","48,225","56,897","247,754 ","319,088 ","1,115,400 ","סך הכל"
"Abu Ghosh",28,"-",11,1,19,34,198,232,"1,053 ","1,344 ","5,900 ","אבו גוש"
"Abu Sinan",85,1,46,"-",17,101,421,522,"2,404 ","3,075 ","12,400 ","אבו סנאן"
"Even Yehuda",224,6,10,6,12,91,645,736,"3,742 ","4,736 ","10,400 ","אבן יהודה"
"Oranit",144,"-",19,1,4,49,327,376,"2,065 ","2,609 ","5,900 ","אורנית"
"Azor",401,68,65,158,9,234,717,951,"3,661 ","5,313 ","10,900 ","אזור"
"Iksal",77,4,31,10,16,116,711,827,"2,329 ","3,294 ","12,100 ","אכסאל"
"Elyakhin",46,5,6,18,25,17,151,168,"884 ","1,152 ","3,000 ","אליכין"
"Alfe Menashe",141,"-",19,"-",7,40,333,373,"2,378 ","2,918 ","6,700 ","אלפי מנשה"
"Elqana",33,1,2,"-",1,16,96,112,"1,018 ","1,167 ","3,500 ","אלקנה"
"I'billin",24,1,16,1,22,107,523,630,"2,295 ","2,989 ","11,500 ","אעבלין"
"Efrata",70,"-",1,"-",11,13,330,343,"1,743 ","2,168 ","7,200 ","אפרתה"
"Be'er Ya'aqov",135,2,19,43,60,84,401,485,"2,593 ","3,337 ","10,500 ","באר יעקב"
"Bu'eine-Nujeidat",6,15,9,24,55,71,283,354,"1,359 ","1,822 ","8,000 ","בועיינה-נוג'ידאת"
"Buq'ata",4,2,3,21,70,76,329,405,"943 ","1,448 ","5,800 ","בוקעאתה"
"Bir El - Maksur",9,3,4,10,37,34,342,376,"1,424 ","1,863 ","7,600 ","ביר אל-מכסור"
"Bet El",29,"-","-","-",8,34,199,233,"695 ","965 ","5,500 ","בית אל"
"Bet Arie",79,"-",13,2,5,15,200,215,"1,207 ","1,521 ","3,700 ","בית אריה"
"Beit Jann",6,"-",5,17,53,32,448,480,"1,900 ","2,461 ","10,500 ","בית ג'ן"
"Bet Dagan",228,3,26,9,6,72,428,500,"2,171 ","2,943 ","6,800 ","בית דגן"
"Bene Ayish",38,2,3,1,20,166,177,343,"2,561 ","2,968 ","6,900 ","בני עי""ש"
"Binyamina-Giv'at Ada",177,1,3,2,11,76,587,663,"3,361 ","4,218 ","12,400 ","בנימינה-גבעת עדה"
"Basma",5,1,9,4,52,38,329,367,"1,526 ","1,964 ","7,800 ","בסמ""ה"
"Basmat Tab'un",22,1,58,"-",6,60,268,328,"1,281 ","1,696 ","6,800 ","בסמת טבעון"
"Bi'ne",26,3,1,2,20,61,330,391,"1,265 ","1,708 ","6,900 ",
"Giv'at Ze'ev",151,26,72,10,20,65,351,416,"3,258 ","3,953 ","10,800 ","גבעת זאב"
"Judeide-Maker",87,2,23,"-",32,92,614,706,"3,373 ","4,223 ","18,200 ","ג'דיידה-מכר"
"Gedera",217,"-",38,3,20,120,804,924,"5,323 ","6,525 ","21,500 ","גדרה"
"Julis",39,"-",45,9,12,14,239,253,"1,247 ","1,605 ","5,700 ","ג'ולס"
"Jaljulye",28,3,8,5,38,76,544,620,"1,704 ","2,406 ","8,500 ","ג'לג'וליה"
"Gan Yavne",226,2,41,3,19,132,793,925,"5,077 ","6,293 ","18,400 ","גן יבנה"
"Ganne Tiqwa",343,9,43,1,9,54,467,521,"4,148 ","5,074 ","12,900 ","גני תקווה"
"Jisr Az-Zarqa",10,"-","-",5,102,19,225,244,"1,209 ","1,570 ","12,400 ","ג'סר א-זרקא"
"Jish (Gush Halav)",5,"-",4,2,5,26,188,214,"743 ","973 ","2,900 ","ג'ש (גוש חלב)"
"Daliyat Al-Karmel",50,"-",37,10,54,129,928,"1,057","3,741 ","4,949 ","15,500 ","דאלית אל-כרמל"
"Daburiyya",10,6,5,3,40,318,358,676,"1,774 ","2,514 ","9,000 ","דבורייה"
"Deir Al-Asad",11,7,5,5,45,114,380,494,"1,903 ","2,470 ","10,400 ","דייר אל-אסד"
"Deir Hanna",8,5,27,24,40,36,332,368,"1,826 ","2,298 ","8,900 ","דייר חנא"
"Har Adar",56,"-",1,1,1,4,165,169,"1,246 ","1,474 ","3,200 ","הר אדר"
"Zikhron Ya'aqov",213,18,12,12,33,186,763,949,"5,153 ","6,390 ","18,700 ","זכרון יעקב"
"Zemer",11,"-",1,12,29,114,299,413,"1,240 ","1,706 ","5,700 ","זמר"
"Zarzir",4,"-",5,3,4,14,256,270,"1,168 ","1,454 ","6,400 ","זרזיר"
"Hura",3,"-","-",6,91,76,424,500,"860 ","1,460 ","16,600 ","חורה"
" Hurfeish",14,2,14,7,20,19,212,231,"1,122 ","1,410 ","5,500 ","חורפיש"
" Hazor HaGelilit",56,24,7,13,16,67,313,380,"1,831 ","2,327 ","8,500 ","חצור הגלילית"
" Tuba - Zangariyye",7,2,"-",6,32,74,198,272,"942 ","1,261 ","5,600 ","טובא-זנגרייה"
" Tur'an",15,3,9,8,29,268,619,887,"2,035 ","2,986 ","11,900 ","טורעאן"
" Yanuh-Jat",8,2,3,"-",11,25,254,279,"1,069 ","1,372 ","5,600 ","יאנוח-ג'ת"
" Yavne'el",36,"-",4,2,5,49,177,226,"643 ","916 ","3,400 ","יבנאל"
" Yesud HaMa'ala",24,"-","-","-","-",25,207,232,"421 ","677 ","1,400 ","יסוד המעלה"
" Yafi",19,11,24,4,37,138,796,934,"3,299 ","4,328 ","16,500 ","יפיע"
"Yeroham",42,1,6,29,26,31,253,284,"1,301 ","1,689 ","8,100 ","ירוחם"
"Yirka",43,21,53,23,40,173,793,966,"2,941 ","4,087 ","14,800 ","ירכא"
" Kabul",34,1,9,28,36,40,344,384,"2,024 ","2,516 ","12,100 ","כאבול"
"Kaokab Abu Al-                Hija",2,"-",9,4,5,18,86,104,"731 ","855 ","2,800 ","כאוכב אבו אל-          היג'א"
"Kokhav Ya'ir",164,6,13,1,5,62,519,581,"3,524 ","4,294 ","9,400 ","כוכב יאיר"
"Kuseife",4,"-",10,3,119,42,407,449,"775 ","1,360 ","16,800 ","כסיפה"
"Kisra-Sumei",9,1,9,"-",21,21,199,220,"1,256 ","1,516 ","7,400 ","כסרא-סמיע"
"Ka'abiyye-                         Tabbash-Hajajre",6,"-","-",8,17,12,240,252,"787 ","1,070 ","4,400 ","כעביה-טבאש-            חג'אג'רה"
"Kafar Bara",2,"-",11,2,14,87,201,288,"548 ","865 ","2,900 ","כפר ברא"
"Kefar Weradim",62,"-",1,"-",1,16,199,215,"1,911 ","2,190 ","5,500 ","כפר ורדים"
"Kafar Yasif",70,3,31,"-",18,71,430,501,"2,403 ","3,026 ","8,700 ","כפר יאסיף"
"Kefar Yona",315,1,37,1,11,99,770,869,"5,049 ","6,283 ","17,600 ","כפר יונה"
"Kafar Kama",44,"-",5,"-","-",11,111,122,"787 ","958 ","2,900 ","כפר כמא"
"Kafar Kanna",22,8,17,56,56,200,847,"1,047","3,553 ","4,759 ","18,800 ","כפר כנא"
"TABLE 9.- (Cont'd)",,,,,,,,,,,,"לוח 9.- (המשך)"
"Absolute numbers",,,,,,2009,,,,,,"מספרים מוחלטים"
,"Type of vehicle",,,,,,,,," סוג  כלי רכב","אוכלוסייה",
,"אופנוע","כלי","מונית","אוטובוס","אוטובוס","  Truck",," משאית","כלי","סך כולל","קבועה (1)",
,,"רכב",,,"זעיר",,,,"רכב פרטי",,"בסוף 2009",
"Local council",,"מיוחד",,,,"מעל 3.5 ","עד 3.5 ","סך הכל",,,"Permanent","מועצה מקומית"
,,,,,,"טונות","טונות",,,,"population (1)",
,"Motor-","Special","Taxi","Bus","Minibus","Over","Up  to","Total","Private","Grand","at end of ",
,"cycle","vehicle",,,,"3.5 tons","3.5 tons",,"car"," total",2009,
,,,,,,,,,,,,
"Kafar Manda",8,1,51,4,157,89,633,722,"2,394 ","3,337 ","16,000 ","כפר מנדא"
"Kafar Qara",43,2,7,20,45,201,845,"1,046","3,635 ","4,798 ","15,300 ","כפר קרע"
"Kefar Shemaryahu",68,"-",5,"-",1,20,209,229,"848 ","1,151 ","1,700 ","כפר שמריהו"
"Kefar Tavor",36,1,"-",2,3,32,165,197,"977 ","1,216 ","2,600 ","כפר תבור"
"Lehavim",55,2,11,84,7,24,185,209,"2,038 ","2,406 ","5,800 ","להבים"
"Laqye",5,"-",2,11,82,57,395,452,"992 ","1,544 ","9,600 ","לקיה"
"Mevasseret Ziyyon",311,18,84,21,23,137,838,975,"7,983 ","9,415 ","23,800 ","מבשרת ציון"
"Mughar",23,3,34,2,52,124,726,850,"3,618 ","4,582 ","19,900 ","מגאר"
"Majd Al-Kurum",36,3,12,13,29,82,412,494,"2,435 ","3,022 ","13,500 ","מג'ד אל-כרום"
"Migdal",18,1,5,1,2,18,102,120,"369 ","516 ","1,400 ","מגדל"
"Majdal Shams",18,3,9,7,40,152,709,861,"1,956 ","2,894 ","9,600 ","מג'דל שמס"
"Mazkeret Batya",168,3,29,"-",1,102,430,532,"3,007 ","3,740 ","9,300 ","מזכרת בתיה"
"Mazra'a",28,"-",5,"-",4,25,157,182,"692 ","911 ","3,400 ","מזרעה"
"Metula",30,1,1,1,4,29,135,164,"514 ","715 ","1,500 ","מטולה"
"Metar",69,"-",19,1,4,36,275,311,"2,324 ","2,728 ","6,200 ","מיתר"
"Mas'ade",5,"-","-",2,19,46,300,346,"637 ","1,009 ","3,100 ","מסעדה"
"Mi'elya",11,1,6,"-",6,24,238,262,"820 ","1,106 ","2,800 ","מעיליא"
"Ma'ale Efrayim",23,"-","-","-",2,13,59,72,"307 ","404 ","1,300 ","מעלה אפרים"
"Ma'ale Iron",17,8,7,1,37,109,653,762,"2,184 ","3,016 ","12,800 ","מעלה עירון"
"Mizpe Ramon",41,"-","-",3,9,10,202,212,"863 ","1,128 ","4,700 ","מצפה רמון"
"Meshhed",9,2,14,3,26,184,377,561,"1,050 ","1,665 ","7,100 ","משהד"
"Nahef",13,6,16,1,28,31,397,428,"1,738 ","2,230 ","10,700 ","נחף"
"Sajur",5,"-",19,"-",4,11,76,87,"672 ","787 ","3,700 ","סאג'ור"
"Savyon",107,"-",1,"-","-",21,338,359,"1,801 ","2,268 ","3,000 ","סביון"
"Ghajar",6,"-",8,7,16,23,74,97,"253 ","387 ","2,200 ","ע'ג'ר"
"Omer",94,12,13,5,5,73,366,439,"2,982 ","3,550 ","6,500 ","עומר"
"Eilabun",8,1,7,6,5,36,217,253,"1,236 ","1,516 ","4,800 ","עיילבון"
"Ilut",3,"-",4,1,16,117,445,562,"897 ","1,483 ","6,900 ","עילוט"
