"TABLE 8.- MOTOR  VEHICLES REGISTERED IN CITIES, ",,,,,,,,,,,,"לוח 8.- כלי רכב מנועיים הרשומים בערים,"
"                     BY TYPE OF VEHICLE",,,,,,,,,,,,"              לפי סוג כלי רכב"
,,,,,,,,,,,,
"Absolute numbers",,,,,,2011,,,,,,"מספרים מוחלטים"
," Type of vehicle",,,,,,,,,"סוג כלי רכב","אוכלוסייה",
,"אופנוע","כלי","מונית","אוטובוס","אוטובוס","Truck",,"משאית","כלי","סך כולל","קבועה (1)",
,,"רכב",,,"זעיר","מעל 3.5","עד 3.5 ","סך הכל","רכב פרטי",,"בסוף 2011",
"City",,"מיוחד",,,,"טונות","טונות",,,,"Permanent","עיר"
,,,,,,,,,,,"population (1)",
,"Motor-","Special","Taxi","Bus","Minibus","Over","Up  to","Total","Private","Grand","at the end of ",
,"cycle","vehicle",,,,"3.5 tons","3.5 tons",,"car"," total",2011,
"Ma'ale Adummim",412,3,114,14,42,187,722,909,"9,097 ","10,591 ","36,100 ","מעלה אדומים"
"Ma'alot-Tarshiha",96,3,23,34,46,87,639,726,"5,239 ","6,167 ","21,000 ","מעלות-תרשיחא"
"Nahariyya",842,15,53,142,43,355,"1,326","1,681","13,857 ","16,633 ","52,600 ","נהרייה"
"Nes Ziyyona",562,9,108,3,13,210,"1,213","1,423","12,393 ","14,511 ","41,300 ","נס ציונה"
" Nazareth",485,26,201,517,182,927,"3,719","4,646","18,206 ","24,263 ","73,700 ","נצרת"
"Nazerat Illit",162,6,36,24,56,225,974,"1,199","10,536 ","12,019 ","40,600 ","נצרת עילית"
"Nesher",204,7,32,"-",10,259,588,847,"6,826 ","7,926 ","24,000 ","נשר"
"Netivot",78,7,54,36,63,217,789,"1,006","4,496 ","5,740 ","28,000 ","נתיבות"
"Netanya","2,971",61,538,100,187,"1,322","5,317","6,639","47,311 ","57,807 ","189,700 ","נתניה"
"Sakhnin",50,"-",41,33,90,189,"1,197","1,386","6,722 ","8,322 ","27,100 ","סח'נין"
"Akko",427,38,78,40,43,293,"1,052","1,345","10,386 ","12,357 ","46,500 ","עכו"
"Afula",318,36,62,199,48,287,"1,094","1,381","10,177 ","12,221 ","41,300 ","עפולה"
"Arad",166,2,48,86,119,131,917,"1,048","4,798 ","6,267 ","23,400 ","ערד"
"Petah Tiqwa","4,659",128,806,97,171,"2,651","8,086","10,737","113,905 ","130,503 ","210,400 ","פתח תקווה"
"Zefat",227,6,61,60,58,85,773,858,"5,130 ","6,400 ","32,200 ","צפת"
"Qalansawe",77,5,9,11,75,165,"1,076","1,241","3,907 ","5,325 ","19,800 ","קלנסווה"
"Qiryat Ono",947,11,157,8,20,129,889,"1,018","10,919 ","13,080 ","33,400 ","קריית אונו"
"Qiryat Atta",550,9,98,87,120,546,"1,460","2,006","13,305 ","16,175 ","52,000 ","קריית אתא"
"Qiryat Bialik",318,10,74,11,24,335,970,"1,305","11,468 ","13,210 ","37,600 ","קריית ביאליק"
"Qiryat Gat",254,4,105,78,102,271,"1,125","1,396","9,133 ","11,072 ","47,800 ","קריית גת"
"Qiryat Yam",224,16,82,4,26,162,612,774,"8,476 ","9,602 ","38,200 ","קריית ים"
"Qiryat Motzkin",290,7,110,"-",63,178,748,926,"11,240 ","12,636 ","38,300 ","קריית מוצקין"
"Qiryat Mal'akhi",71,12,17,29,56,358,617,975,"4,297 ","5,457 ","20,900 ","קריית מלאכי"
"Qiryat Shemona",233,30,48,65,55,284,705,989,"5,938 ","7,358 ","23,000 ","קריית שמונה"
"Rosh HaAyin",828,8,99,26,83,599,"1,337","1,936","12,620 ","15,600 ","39,900 ","ראש העין"
"Rishon LeZiyyon","4,275",158,"1,082",314,273,"2,456","8,079","10,535","74,875 ","91,512 ","232,400 ","ראשון לציון"
"Rahat",60,10,8,20,524,789,"2,126","2,915","5,140 ","8,677 ","54,900 ","רהט"
"Rehovot","1,255",46,382,54,137,635,"2,908","3,543","33,104 ","38,521 ","118,100 ","רחובות"
"Ramla",439,61,275,325,207,"1,886","2,313","4,199","15,511 ","21,017 ","67,900 ","רמלה"
"Ramat Gan","6,668",49,663,44,98,"1,000","4,447","5,447","45,238 ","58,207 ","148,000 ","רמת גן"
"Ramat HaSharon","1,258",19,117,13,20,321,"1,568","1,889","16,964 ","20,280 ","42,300 ","רמת השרון"
"Ra'annana","1,352",6,88,35,65,252,"2,302","2,554","25,716 ","29,816 ","69,100 ","רעננה"
"Sederot",114,13,77,92,54,174,685,859,"4,619 ","5,828 ","21,100 ","שדרות"
"Shefar'am",134,35,54,29,48,263,"1,716","1,979","8,927 ","11,206 ","37,700 ","שפרעם"
"Tel Aviv-Yafo","25,067","1,328","1,502","5,267",553,"6,019","20,957","26,976","196,689 ","257,382 ","404,800 ","תל אביב -יפו"
,,,,,,,,,,,,
" (1) Population data - based on temporary estimate for the year 2011.",,,,,,,,,,,,"(1) נתוני האוכלוסייה - על בסיס אומדן ארעי לשנת 2011."
