"TABLE 9.- MOTOR VEHICLES REGISTERED IN LOCAL COUNCILS,(1)",,,,,,,,,,,,"לוח 9.- כלי רכב מנועיים הרשומים במועצות מקומיות,(1)"
"                   BY TYPE OF VEHICLE",,,,,,,,,,,,"               לפי סוג כלי רכב"
"Absolute numbers",,,,,,2012,,,,,,"מספרים מוחלטים"
,"Type of vehicle",,,,,,,,," סוג  כלי רכב","אוכלוסייה",
,"אופנוע","כלי","מונית","אוטובוס","אוטובוס","  Truck",," משאית","כלי","סך כולל","קבועה (2)",
,,"רכב",,,"זעיר",,,,"רכב פרטי",,"בסוף 2012",
"Local council",,"מיוחד",,,,"מעל 3.5 ","עד 3.5 ","סך הכל",,,"Permanent","מועצה מקומית"
,,,,,,"טונות","טונות",,,,"population (2)",
,"Motor-","Special","Taxi","Bus","Minibus","Over","Up  to","Total","Private","Grand","at the end of ",
,"cycle","vehicle",,,,"3.5 tons","3.5 tons",,"car"," total",2012,
,,,,,,,,,,,,
"Yafi",50,10,23,4,28,172,944,"1,116","4,034 ","5,265 ","17,700 ","יפיע"
"Yeroham",49,0,7,6,27,32,258,290,"1,603 ","1,982 ","8,700 ","ירוחם"
"Yirka",58,24,44,30,48,210,813,"1,023","3,370 ","4,597 ","14,800 ","ירכא"
" Kabul",51,1,10,40,48,62,399,461,"2,428 ","3,039 ","12,600 ","כאבול"
"Kaokab Abu Al-                Hija",6,0,8,5,4,30,96,126,"898 ","1,047 ","3,100 ","כאוכב אבו אל-          היג'א"
"Kokhav Ya'ir",159,5,11,1,3,70,392,462,"3,889 ","4,530 ","9,300 ","כוכב יאיר"
"Kuseife",3,0,9,6,109,63,430,493,"952 ","1,572 ","17,500 ","כסיפה"
"Kisra-Sumei",8,1,7,0,26,29,230,259,"1,531 ","1,832 ","7,800 ","כסרא-סמיע"
"Ka'abiyye-                         Tabbash-Hajajre",18,1,1,15,25,26,237,263,"1,020 ","1,343 ","4,700 ","כעביה-טבאש-            חג'אג'רה"
"Kafar Bara",20,0,10,2,15,88,219,307,"672 ","1,026 ","3,100 ","כפר ברא"
