pk_teuna_fikt,sug_tik,THUM_GEOGRAFI,SUG_DEREH,SEMEL_YISHUV,REHOV1,REHOV2,BAYIT,ZOMET_IRONI,KVISH1,KVISH2,KM,ZOMET_LO_IRONI,YEHIDA,SHNAT_TEUNA,HODESH_TEUNA,YOM_BE_HODESH,SHAA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,RAMZOR,HUMRAT_TEUNA,SUG_TEUNA,ZURAT_DEREH,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,BAKARA,MEZEG_AVIR,PNE_KVISH,SUG_EZEM,MERHAK_EZEM,LO_HAZA,OFEN_HAZIYA,MEKOM_HAZIYA,KIVUN_HAZIYA,MAHOZ,NAFA,EZOR_TIVI,MAAMAD_MINIZIPALI,ZURAT_ISHUV,STATUS_IGUN,X,Y
2017000223,1,1,1,8300,725,305,,8680004,,,,,52,2017,2,7,58,4,1,3,0,3,1,9,1,0,1,1,2,3,1,1,1,1,9,9,9,4,3,9,4,44,442,0,13,1,181860,652149
2017000248,1,1,3,0,,,,,89,866,442,1471,12,2017,10,1,79,4,5,1,9,3,2,9,2,0,0,1,4,3,3,6,1,1,9,9,9,0,0,9,9,99,999,99,99,1,241770,765926
2017000250,1,1,1,7100,810,498,,10160033,,,,,38,2017,2,9,35,4,1,5,0,3,2,8,3,0,1,1,2,3,1,6,2,2,2,2,9,0,0,9,6,61,614,0,14,1,162033,619320
2017000284,1,1,1,3000,4283,4276,,8890111,,,,,61,2017,6,9,41,4,1,6,1,3,4,9,2,0,1,1,4,3,1,2,1,1,9,9,9,0,0,9,1,11,111,0,12,1,221932,634160
2017000294,1,1,1,3000,4757,4754,,26690661,,,,,61,2017,5,29,41,4,1,2,9,3,4,8,3,0,1,1,2,3,1,7,1,1,9,9,9,0,0,9,1,11,111,0,12,1,223003,637216
2017000306,1,1,2,4000,635,,108,,,,,,11,2017,6,1,51,4,1,5,9,2,1,8,0,3,1,1,2,3,1,,1,1,9,9,9,3,3,2,3,31,311,0,13,1,199053,745893
2017000314,1,1,2,5000,1040,,97,,,,,,20,2017,2,7,76,4,5,3,9,3,8,9,1,0,1,1,3,3,3,7,1,1,5,5,9,0,0,9,5,51,511,0,13,1,179560,665898
2017000317,1,1,2,5000,180,,9999,,,,,,20,2017,9,14,83,4,5,5,9,2,3,8,0,3,3,1,4,3,3,,1,1,9,9,9,0,0,9,5,51,511,0,13,3,181474,667671
2017000329,1,1,1,5000,1994,1964,,15960723,,,,,20,2017,1,20,58,4,1,6,9,3,2,9,3,0,1,1,0,4,1,1,1,1,9,9,9,0,0,9,5,51,511,0,13,1,176776,661595
2017000344,1,1,2,31,195,,9999,,,,,,34,2017,7,14,33,4,1,6,9,3,2,8,1,0,1,1,3,3,1,7,1,1,9,9,9,0,0,9,6,62,622,0,16,3,164222,580385
