"TABLE 9.- MOTOR VEHICLES REGISTERED IN LOCAL COUNCILS,(1)",,,,,,,,,,,,"לוח 9.- כלי רכב מנועיים הרשומים במועצות מקומיות,(1)"
"                   BY TYPE OF VEHICLE",,,,,,,,,,,,"               לפי סוג כלי רכב"
"Absolute numbers",,,,,,2013,,,,,,"מספרים מוחלטים"
,"Type of vehicle",,,,,,,,," סוג  כלי רכב","אוכלוסייה",
,"אופנוע","כלי","מונית","אוטובוס","אוטובוס","  Truck",," משאית","כלי","סך כולל","קבועה (2)",
,,"רכב",,,"זעיר",,,,"רכב פרטי",,"בסוף 2012",
"Local council",,"מיוחד",,,,"מעל 3.5 ","עד 3.5 ","סך הכל",,,"Permanent","מועצה מקומית"
,,,,,,"טונות","טונות",,,,"population (2)",
,"Motor-","Special","Taxi","Bus","Minibus","Over","Up  to","Total","Private","Grand","at the end of ",
,"cycle","vehicle",,,,"3.5 tons","3.5 tons",,"car"," total",2012,
,,,,,,,,,,,,
"Yesud HaMa'ala",26,0,0,0,2,34,166,200,"560 ","788 ","1,580 ","יסוד המעלה"
"Yafi",66,12,26,6,25,194,944,"1,138","4,211 ","5,484 ","17,668 ","יפיע"
"Yeroham",53,0,7,4,23,30,251,281,"1,657 ","2,025 ","8,663 ","ירוחם"
"Yirka",66,29,43,29,58,225,833,"1,058","3,612 ","4,895 ","14,796 ","ירכא"
" Kabul",62,2,11,50,49,64,404,468,"2,572 ","3,214 ","12,598 ","כאבול"
"Kaokab Abu Al-                Hija",6,0,10,6,3,30,102,132,"947 ","1,104 ","3,075 ","כאוכב אבו אל-          היג'א"
"Kokhav Ya'ir",161,4,10,1,3,76,361,437,"4,003 ","4,619 ","9,252 ","כוכב יאיר"
"Kuseife",2,0,8,12,115,74,410,484,"1,058 ","1,679 ","17,543 ","כסיפה"
"Kisra-Sumei",9,2,7,0,24,27,243,270,"1,664 ","1,976 ","7,759 ","כסרא-סמיע"
"Ka'abiyye-                         Tabbash-Hajajre",17,1,1,10,28,25,232,257,"1,130 ","1,444 ","4,661 ","כעביה-טבאש-            חג'אג'רה"
