"TABLE 8.- MOTOR VEHICLES REGISTERED IN CITIES,(1)",,,,,,,,,,,,"לוח 8.- כלי רכב מנועיים הרשומים בערים,(1)"
"                     BY TYPE OF VEHICLE",,,,,,,,,,,,"              לפי סוג כלי רכב"
,,,,,,,,,,,,
"Absolute numbers",,,,,,2016,,,,,,"מספרים מוחלטים"
,"Type of vehicle",,,,,,,,,"סוג כלי רכב","אוכלוסייה",
,"אופנוע","כלי","מונית","אוטובוס","אוטובוס","Truck",,"משאית","כלי","סך כולל","קבועה ",
,,"רכב",,,"זעיר","מעל 3.5","עד 3.5 ","סך הכל","רכב פרטי",,"בסוף 2015",
"City",,"מיוחד",,,,"טונות","טונות",,,,"Permanent","עיר"
,,,,,,,,,,,"population",
,"Motor-","Special","Taxi","Bus","Minibus","Over","Up to","Total","Private","Grand","at the end of ",
,"cycle","vehicle",,,,"3.5 tons","3.5 tons",,"car"," total",2015,
"Netivot",121,13,71,38,62,287,691,978,"6,828 ","8,111 ","31,314 ","נתיבות"
"Netanya","3,494",71,692,118,151,"1,514","4,082","5,596","61,292 ","71,414 ","207,945 ","נתניה"
"Sakhnin",80,3,89,94,114,311,"1,366","1,677","9,655 ","11,712 ","29,315 ","סח'נין"
"Akko",563,13,77,19,39,431,894,"1,325","13,411 ","15,447 ","47,674 ","עכו"
"Afula",406,23,68,132,34,342,860,"1,202","13,919 ","15,784 ","44,929 ","עפולה"
"Arad",141,3,57,117,147,229,"1,129","1,358","6,214 ","8,037 ","24,436 ","ערד"
"Petah Tiqwa","5,325",124,888,135,161,"3,969","4,758","8,727","74,927 ","90,287 ","230,984 ","פתח תקווה"
"Zefat",304,9,99,64,51,116,621,737,"6,574 ","7,838 ","33,357 ","צפת"
"Qalansawe",156,7,10,32,58,333,"1,112","1,445","5,851 ","7,559 ","21,451 ","קלנסווה"
"Qiryat Ono","1,018",14,150,14,15,171,620,791,"13,613 ","15,615 ","37,790 ","קריית אונו"
"Qiryat Atta",593,14,109,101,121,760,"1,043","1,803","17,345 ","20,086 ","55,464 ","קריית אתא"
"Qiryat Bialik",291,17,57,1,19,425,675,"1,100","12,947 ","14,432 ","39,069 ","קריית ביאליק"
"Qiryat Gat",302,8,137,139,117,395,866,"1,261","12,208 ","14,172 ","51,482 ","קריית גת"
"Qiryat Yam",243,11,85,4,23,200,483,683,"10,308 ","11,357 ","39,272 ","קריית ים"
"Qiryat Motzkin",280,15,148,3,41,211,538,749,"13,737 ","14,973 ","40,159 ","קריית מוצקין"
"Qiryat Mal'akhi",94,16,29,46,68,526,483,"1,009","5,631 ","6,893 ","21,550 ","קריית מלאכי"
"Qiryat Shemona",259,6,43,67,53,333,541,874,"7,283 ","8,585 ","23,076 ","קריית שמונה"
"Rosh HaAyin","1,031",10,123,629,94,"1,134","1,209","2,343","18,883 ","23,113 ","42,938 ","ראש העין"
"Rishon LeZiyyon","5,253",683,"1,277",316,293,"3,160","7,352","10,512","137,936 ","156,270 ","243,972 ","ראשון לציון"
"Rahat",53,17,9,27,589,"1,156","2,286","3,442","8,734 ","12,871 ","62,414 ","רהט"
"Rehovot","1,503",41,467,64,116,785,"2,299","3,084","41,947 ","47,222 ","132,671 ","רחובות"
"Ramla",557,45,342,585,202,"2,487","1,849","4,336","20,749 ","26,816 ","73,685 ","רמלה"
"Ramat Gan","6,727",35,582,24,68,807,"2,553","3,360","48,521 ","59,317 ","152,596 ","רמת גן"
"Ramat HaSharon","1,236",25,119,8,10,247,"1,042","1,289","19,391 ","22,078 ","44,427 ","רמת השרון"
"Ra'annana","1,375",8,110,42,61,310,"1,371","1,681","29,457 ","32,734 ","70,782 ","רעננה"
"Sederot",124,22,129,116,81,277,613,890,"6,300 ","7,662 ","23,089 ","שדרות"
"Shefar'am",182,43,40,41,54,380,"1,822","2,202","12,210 ","14,772 ","40,017 ","שפרעם"
"Tel Aviv-Yafo","23,656","1,275","1,495","2,070",481,"6,593","13,237","19,830","229,328 ","278,135 ","432,891 ","תל אביב -יפו"
,,,,,,,,,,,,
"(1) The data are presented according to the registered locality (address) ",,,,,,,,,,,,"(1) הנתונים מסווגים לפי היישוב הרשום (כתובת) של בעל הרכב -"
"      of the owner of the vehicle, and not of the actual user",,,,,,,,,,,,"    לא לפי מקום מגוריו של המשתמש בפועל ברכב, "
"      of the vehicle, nor by the locality the vehicle is used. ",,,,,,,,,,,,"    ואף לא לפי היישוב שבו הרכב פעיל. "
