,id,fcode_type,yishuv_symbol,yishuv_name,school_name,school_latin_name,usg,usg_code,e_ord,n_ord,longitude,latitude,geom,data_year,prdct_ver,x,y
0,54452998,252,472,אבו גוש,בית ספר - אבו גוש,,13,5310,210363.4894,635146.1028,35.10848207,31.80909221,0101000020e61000001b6d8fbde28d4140fb65c5aa20cf3f40,2014,,210363.4894,635146.1028
1,54447401,252,472,אבו גוש,בית ספר - אבו גוש,,13,5330,210325.7432,635417.749,35.1080809,31.81154171,0101000020e61000003f694d98d58d414038ca8f32c1cf3f40,2014,,210325.7432,635417.749
2,65107421,252,472,אבו גוש,בית ספר - פיס השלום,,13,5310,210500.765,634521.9921,35.10993755,31.80346482,0101000020e61000001aed026f128e4140f362d5deafcd3f40,2014,,210500.765,634521.9921
3,54447516,252,175,אביחיל,בית ספר - ניסויי איזורי ממלכתי אביחיל,,13,5310,187964.1928,694761.327,34.86997654,32.34629513,0101000020e61000002bcb29645b6f41409a0e1966532c4040,-1,,187964.1928,694761.327
4,60590867,252,175,אביחיל,גן ילדים,,13,5305,187946.6727,694775.6079,34.86978996,32.34642342,0101000020e6100000694b0447556f4140f7bb459a572c4040,-1,,187946.6727,694775.6079
5,54446463,252,182,אבן יהודה,פנימיה - כפר הנוער הדסים ויצו קנדה,,13,5338,189363.2894,688073.0455,34.88505038,32.28602194,0101000020e6100000c9b4b25449714140861eef5d9c244040,-1,,189363.2894,688073.0455
6,54446467,252,182,אבן יהודה,"AIS בי""ס אמריקאי בינלאומי",,13,5300,188612.075,685668.9927,34.87715366,32.26432279,0101000020e610000023a235924670414099514554d5214040,-1,,188612.075,685668.9927
7,64763936,252,182,אבן יהודה,"בית חינוך בית אב""י",,13,5300,188993.2118,685747.7495,34.88119617,32.26504341,0101000020e610000057c13d09cb70414033fc44f1ec214040,-1,,188993.2118,685747.7495
8,54447332,252,182,אבן יהודה,"בית ספר - מ""מ ע""ש יהודה בכר",,13,5310,189343.594,685608.7621,34.88491922,32.26379954,0101000020e61000003cc0720845714140fb7fee2ec4214040,2014,,189343.594,685608.7621
9,65108042,252,400,אבן שמואל,בית ספר - אבן שמואל,,13,5310,177515.9353,609048.7393,34.76270589,31.5730044,0101000020e61000001f02bb58a0614140cf76966ab0923f40,2014,,177515.9353,609048.7393
10,60590848,252,400,אבן שמואל,"בית ספר - ממ""ד",,13,5310,177505.0335,609162.2438,34.76258622,31.57402763,0101000020e6100000e0a3dd6c9c614140b3d98979f3923f40,2014,,177505.0335,609162.2438
11,54450859,252,2710,אום אל-פחם,בית ספר - אבן סינא,,13,5310,214085.4995,713893.8307,35.14734789,32.519253,0101000020e6100000a157b04bdc924140caacdee176424040,-1,,214085.4995,713893.8307
12,54450517,252,2710,אום אל-פחם,בית ספר - אלזהרא,,13,5310,214423.3299,713237.9007,35.15094696,32.51333982,0101000020e6100000b850e03a529341403851851eb5414040,-1,,214423.3299,713237.9007
13,54452871,252,2710,אום אל-פחם,בית ספר - ממלכתי אבן חלדון,,13,5310,215078.4102,713806.8011,35.15791593,32.51847258,0101000020e6100000086fd59636944140837c3b4f5d424040,2014,,215078.4102,713806.8011
14,54449109,252,2710,אום אל-פחם,גן ילדים - גני פיס,,13,5305,214457.7078,714285.3114,35.15130726,32.52278486,0101000020e610000077ac4a095e934140a045429dea424040,-1,,214457.7078,714285.3114
15,54447790,252,2710,אום אל-פחם,בית ספר - תיכון מקיף,,13,5330,214465.9287,715139.7676,35.15139022,32.53048984,0101000020e6100000c9ea35c16093414084d45017e7434040,-1,,214465.9287,715139.7676
16,54450080,252,2710,אום אל-פחם,בית ספר - ממלכתי אל מותנבי,,13,5310,215480.2497,713759.6567,35.16219291,32.51804897,0101000020e6100000ea0bbebcc294414031f0bb6d4f424040,-1,,215480.2497,713759.6567
17,54447659,252,2710,אום אל-פחם,בית ספר - יסודי אלאחיה,,13,5310,213257.9026,713451.9654,35.13854262,32.51526423,0101000020e61000004700bbc3bb9141400653a42df4414040,-1,,213257.9026,713451.9654
18,54449810,252,2710,אום אל-פחם,גן ילדים - אשכול גנים פיס,,13,5305,214915.555,713255.8469,35.15618533,32.51350377,0101000020e6100000843b82e1fd934140e842d57dba414040,-1,,214915.555,713255.8469
19,54453030,252,2710,אום אל-פחם,בית ספר - בן אל ח'טאב,,13,5310,214495.4365,713176.2145,35.15171467,32.51278389,0101000020e610000099fce4626b9341409bbb0ae7a2414040,-1,,214495.4365,713176.2145
20,54452447,252,2710,אום אל-פחם,גן ילדים,,13,5305,215597.0702,713302.8188,35.1634381,32.51392991,0101000020e6100000cf35278aeb94414070f18d74c8414040,-1,,215597.0702,713302.8188
21,54448721,252,2710,אום אל-פחם,בית ספר - ממלכתי אלחינסא,,13,5310,214941.5228,713183.734,35.15646203,32.5128536,0101000020e610000038f5a2f20694414064d1cf2fa5414040,-1,,214941.5228,713183.734
